name,latin_name,temperature,length,location,food,kryjowka_info,breeding_info
Gupik Endlera, Poecilia wingei ,22 - 30°C,4 cm,Ameryka Płd.,"mrożony,suchy,żywy",<p>Mimo swojego niewielkiego rozmiaru są bardzo aktywnymi rybkami dlatego należy przestrzegać minimalnych wymagań dotyczących zbiornika. Dla haremu 3 samic i jednego samca wystarczy 30 l akwarium. Najlepiej będą się czuły w gęsto zarośniętym akwarium z dużą ilością kryjówek i zakamarków. Preferują wodę ciepłą twardą lub średnio-twardą o odczynie obojętnym. Optymalna temperatura wody dla nich to 24-27°C. W cieplejszej wodzie szybciej rosną ale jednocześnie krócej żyją. Mają tendencje do wyskakiwania z akwarium dlatego niezbędna będzie pokrywa.</p>,"Żerowanie: ,środek,Rozmnażanie: ,żyworodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,1 - 3 lat"
Giętkoząb czarnobrzuchy – Opaczek, Synodontis nigriventris ,22 - 28°C,10 cm,Afryka,"mrożony,suchy,żywy","<p>Ze względu na to, że powinny być trzymane w grupie, długość akwarium powinna wynosić przynajmniej 70 cm. Preferują zbiorniki niezbyt mocno oświetlone, z miękkim, piaszczystym podłożem, z licznymi dekoracjami z drewna, korzeni i kamieni. Pożądane są także rośliny pływające oraz te z szerokimi liśćmi np. Anubiasy, Żabienice. Najlepiej czują się w wodzie miękkiej i lekko kwaśnej, o temperaturze 22-28ºC.</p>","Żerowanie: ,przy dnie,, ,przy tafli wody,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,5 - 15 lat"
Glonojad syjamski, Gyrinocheilus aymonieri ,23 - 28°C,20 - 25 cm,Azja,"glony,mrożony,roślinny,suchy,żywy","<p>Glonojady syjamskie to duże i terytorialne ryby, którym należy zapewnić przestronne, gęsto obsadzone roślinami akwarium długości co najmniej 120 cm oraz liczne kryjówki z kamieni i drewna. Dorosłe osobniki mogą niszczyć delikatniejsze gatunki roślin dlatego do akwarium należy wybierać te bardziej wytrzymałe o mocnych liściach np. Mikrozorium, <a title=""Kryptokoryna Wendta – Zwartka Wendta"" href=""https://rybyakwariowe.eu/roslina-akwariowa/kryptokoryna-wendta-zwartka-wendta/"">Zwartka</a>, Bolbtis, Anubias. Nieustannie żerujące ryby zanieczyszczają wodę próchnicą i zbutwiałymi resztkami roślinnymi, zbiornik trzeba więc wyposażyć w dobry filtr biologiczny. Glonojady lubią silny prąd wody, która musi być także dobrze natleniona. Intensywne oświetlenie zapewni im odpowiedni porost glonów w akwarium.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Pokarm: ,glony,, ,mrożony,, ,roślinny,, ,suchy,, ,żywy,Długość życia: ,8 - 10 lat"
Gurami całujący, Helostoma temminkii ,22 - 30°C,20 - 30 cm,Azja,"glony,mrożony,roślinny,suchy,żywy","<p>Dorosłe gurami całujące wymagają przestronnego zbiornika od ok. 300 litrów. Jego wystrój nie jest jednak tak istotny co jakość wody i wolna przestrzeń do pływania. Do dekoracji można użyć korzeni, z których ryby chętnie zeskrobują glony. Delikatne rośliny prędzej czy później zostaną zjedzone, sprawdzą się te bardziej wytrzymałe z twardymi liśćmi jak np. anubias, mikrozorium oraz rośliny pływające. Lepiej wyglądają na tle ciemnego podłoża.</p>","Żerowanie: ,przy tafli wody,Rozmnażanie: ,jajorodne,Pokarm: ,glony,, ,mrożony,, ,roślinny,, ,suchy,, ,żywy,Długość życia: ,8 - 20 lat"
Grubowarg dwubarwny – Labeo, Epalzeorhynchos bicolor ,22 - 26°C,15 cm,Azja,"glony,mrożony,roślinny,suchy,żywy","<p>Rybie należy zapewnić bogatą roślinność, kryjówki z kamieni i korzeni oraz piaszczyste podłoże. <strong>Wymaga dużego zbiornika</strong> o długości minimum 100 cm. Grubowarg dwubarwny zasiedla dolne partie zbiornika. Nie może być trzymany z rybami o ubarwieniu czerwonym, wolno pływającymi i odmianami weloniastymi. Za współmieszkańców najlepiej dobierać ryby przebywające w środkowych i górnych partiach wody. Akwarium powinno być przykryte.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Pokarm: ,glony,, ,mrożony,, ,roślinny,, ,suchy,, ,żywy,Długość życia: ,10 lat"
Giętkoząb wielkopłetwy, Synodontis eupterus ,22 - 27°C,15 - 20 cm,Afryka,"mrożony,roślinny,suchy,żywy","<p>Wymagają dużego akwarium o długości min. 100 cm, z licznymi kryjówkami i miękkim podłożem. Do dekoracji można użyć kamieni, drewna bagiennego czy powykręcanych korzeni, które zapewnią im właściwe schronienie. Oświetlenie nie powinno być zbyt jasne, stłumione np. przez roślinność pływającą. Wrażliwe na zanieczyszczenia, wymagają wydajnej filtracji i regularnych podmian oraz dobrze natlenionej wody. Dosyć łatwo adaptują się do różnych warunków.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,roślinny,, ,suchy,, ,żywy,Długość życia: ,10 - 20 lat"
Głowaczyk barwny, Tateurndina ocellicauda ,22 - 26°C,7.5 cm,Nowa Gwinea,"mrożony,suchy,żywy","<p>Dla pary wystarczy ok 50 litrowe akwarium, z ciemnym podłożem, gęstą roślinnością (również pływającą), dekoracjami w postaci korzeni i kamieni. W tak urządzonym zbiorniku ryby będą mniej płochliwe. Wymagają czystej wody i częstych podmian. Prąd wody nie powinien być zbyt silny. Są dobrymi skoczkami, dlatego niezbędna jest pokrywa. W akwarium biotopowym mogą przebywać z Tęczankami. W towarzyskim np. tetrami, <a title=""Kiryskowate"" href=""https://rybyakwariowe.eu/kiryski-kiryskowate-rybki"">kiryskami</a>, razborami, <a title=""Otosek Przyujściowy"" href=""https://rybyakwariowe.eu/ryba-akwariowa/otosek-przyujsciowy-ryba-otoski/"">otoskami</a> i innymi małymi, spokojnymi rybami. Można je trzymać z innymi terytorialnymi rybami jak np. <a title=""Pielęgniczka Ramireza"" href=""https://rybyakwariowe.eu/pielegniczka-ramireza-pielegnica-ryba/"">pielęgniczka ramireza</a> ale w odpowiednio większym zbiorniku.</p>","Żerowanie: ,przy dnie,, ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,3 - 5 lat"
Gupik pawie oczko, Poecilia reticulata ,18 - 32°C,6 cm,Ameryka Płd.,łagodne,"<p>Mimo niewielkich rozmiarów, dla grupy gupików zaleca się min. 54 l akwarium, z bujną roślinnością, również pływającą. Biologia w większym zbiorniku jest dużo bardziej stabilna, skoki pH są mniej gwałtowne, a temperatura wody maleje i rośnie wolniej.</p>","Żerowanie: ,środek,Rozmnażanie: ,żyworodne,Usposobienie: ,łagodne,Trudność hodowli: ,bardzo łatwa,Pokarm: ,glony,, ,mrożony,, ,roślinny,, ,suchy,, ,żywy,Długość życia: ,2 - 3 lat"
Bystrzyk kolumbijski, Hyphessobrycon columbianus ,20 - 28°C,5 - 6.5 cm,Ameryka Płd.,umiarkowane,"<p>Niewielka grupa wymaga akwarium o długości co najmniej 90 cm, miejscowo gęsto obsadzonego roślinnością z pozostawioną dużą przestrzenią do pływania i ciemnym podłożem. Do dekoracji można użyć suchych kawałków drewna, korzeni, gałęzi czy liści. Nie lubią zbyt jasnego oświetlenia, które najlepiej stłumić roślinami pływającymi.</p>","Żerowanie: ,środek,Rozmnażanie: ,jajorodne,Usposobienie: ,umiarkowane,Trudność hodowli: ,łatwa,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,3 - 5 lat"
Bystrzyk Pereza – czerwonoplamy, Hyphessobrycon erythrostigma ,21 - 28°C,6 cm,Ameryka Płd.,umiarkowane,"<p>Grupa 8-10 Bystrzyków Peraza wymaga <strong>akwarium o długości co najmniej 80 cm</strong>, miejscowo gęsto obsadzonego roślinnością i najlepiej z ciemnym podłożem. W zbiorniku można umieścić dekoracje w postaci suchych kawałków drewna, korzeni czy gałęzi oraz suchych liści. Rozkładające się liście będą uwalniać do wody pożądane taniny, a także zapewnią dodatkowe źródło pokarmu dla narybku. Światło nie powinno być zbyt jasne, najlepiej stłumione roślinami pływającymi.</p>","Żerowanie: ,środek,Rozmnażanie: ,jajorodne,Usposobienie: ,umiarkowane,Trudność hodowli: ,umiarkowana,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,3 - 5 lat"
Gurami czekoladowe, Sphaerichthys osphromenoides ,23 - 30°C,4 cm,Azja,"mrożony,suchy,żywy","<p>Wymagają akwarium co najmniej 60 l, gęsto obsadzonego roślinami i z dobrą filtracją. Dobrze czują się w wodzie miękkiej i kwaśnej. W naturalnym środowisku żyją w wodzie nawet bardzo kwaśnej do 3.0 pH. Niezbędna jest cotygodniowa podmiana wody jednak nie większa niż (10-15%). Do odwzorowania naturalnego środowiska możemy użyć piaszczystego podłoża, dekoracji z gałęzi i korzeni oraz suchych liści drzew np. Dąb, Buk, Ketapang. Ryby preferują łagodny prąd wody.  Najlepiej prezentują się w niezbyt jasnym świetle.</p>","Żerowanie: ,przy tafli wody,, ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,4 lata"
Bystrzyk Ozdobny, Hyphessobrycon bentosi , 24 - 28°C,4.5 cm,Ameryka Płd.,"mrożony,suchy,żywy","<p>Bystrzyki ozdobne wymagają akwarium o wymiarach co najmniej 60x30x30 cm, niezbyt gęsto obsadzone roślinami, żeby zapewnić tym stadnym rybom rozległą przestrzeń do pływania. Zalecane ciemne podłoże, niezbyt jasne oświetlenie i umiarkowany prąd. Ryby preferują wodę miękką, lekko kwaśną. Ich naturalnym biotopem są „czarne wody” – piaszczyste dno, korzenie, suche liście. Nie są najlepszym towarzystwem dla ryb większych (np. <a title=""Skalar – Żaglowiec"" href=""https://rybyakwariowe.eu/ryba-akwariowa/skalar-zaglowiec-skalary/"">Skalar</a>, Paletka) i bardziej żywiołowych. Dobrym towarzystwem będą kiryski (<a title=""Kirysek Panda"" href=""https://rybyakwariowe.eu/ryba-akwariowa/kirysek-panda/"">kirysek panda</a>), drobnoustki (<a title=""Drobnoustek obrzeżony"" href=""https://rybyakwariowe.eu/ryba-akwariowa/drobnoustek-obrzezony-drobnoustki/"">obrzeżony</a>, beckforda), małe pielęgnice (<a title=""Pielęgniczka Boliwijska"" href=""https://rybyakwariowe.eu/ryba-akwariowa/pielegniczka-boliwijska-pielegnica/"">pielęgniczka boliwijska</a>), razbory (<a title=""Razbora Hengela"" href=""https://rybyakwariowe.eu/ryba-akwariowa/razbora-hengela-razbory/"">razbora hengela</a>), barwniaki, niektóre labiryntowe.</p>","Żerowanie: ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,3 - 5 lat"
Bystrzyk czerwony – Tetra czerwona, Hyphessobrycon flammeus ,22 - 27°C,4.5 cm,Ameryka Śr.,"mrożony,suchy,żywy","<p>Bystrzyki czerwone należy trzymać w stadku, w akwarium co najmniej 54 l, z niezbyt jasnym oświetleniem i ciemnym podłożem, podkreślającym ich piękne ubarwienie. Zbiornik powinien być gęsto obrośnięty roślinami a jednocześnie posiadać odpowiednio dużo przestrzeni do pływania. Intensywniej oświetlone zbiorniki trzeba miejscami zaciemnić np.roślinami pływającymi. Kolory bystrzyków czerwonych blakną w jaskrawo oświetlonych akwariach np. sklepów zoologicznych. Ryby dobrze czują się zarówno w wodzie miękkiej jak i twardej. Najlepiej trzymać w akwarium gatunkowym lub zbiorniku ogólnym z innymi niewielkimi rybami.</p>","Żerowanie: ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,3.5 lata"
Gurami samuraj, Sphaerichthys vaillanti ,21 - 25°C,4.5 - 5.5 cm,Azja,"mrożony,suchy,żywy","<p>Wymaga akwarium o min. 60 cm długości, najlepiej z ciemnym, miękkim podłożem i niezbyt jasnym oświetleniem. Do dekoracji można użyć suchych, powykręcanych gałęzi, korzeni lub kawałków drewna, które zapewnią rybom zaciemnione kryjówki. Bardzo wskazane są również, występujące w ich siedliskach, suche liście np. Dębu, Ketapangu czy Buku. Nadadzą one bardziej naturalnego wyglądu, a także zapewnią dodatkowe źródło pokarmu dla narybku. Będą również uwalniać do wody korzystne kwasy humusowe i zabarwią wodę na kolor herbaciany. Dodanie roślin pływających ograniczy ilość światła, za którym ryby nie przepadają. Można także dodać kilka wytrzymałych, wolnorosnących roślin np. Anubias, Mikrozorium, Kryptokoryna.</p>","Żerowanie: ,przy tafli wody,, ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,3 - 5 lat"
Gurami mozaikowy, Trichopodus leerii ,24 - 30°C,12 cm,Azja,"mrożony,suchy,żywy","<p>Gurami mozaikowe czują się najlepiej w przestronnym akwarium min. 100 litrowym. Lubią dobrze oświetlone zbiorniki z niskim poziomem wody, mocno miejscami obsadzone roślinnością oraz wolną przestrzenią do pływania. Dość łatwo przystosowują się do rożnych parametrów wody, która jednak musi być czysta i regularnie podmieniana (10-15%). Konieczne jest zastosowanie wydajnej filtracji z minimalnym wymuszonym prądem wody, tak aby nie uszkodzić budowanego wśród roślin gniazda. Gurami mozaikowy jest jednym z najspokojniejszych spośród swojego rodzaju. Doskonale nadaje się do akwarium towarzyskiego. Nie jest natomiast wskazane jego łączenie z rybami dużo większymi i agresywnymi.</p>","Żerowanie: ,przy tafli wody,, ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,5 - 6 lat"
Księżniczka z Burundi, Neolamprologus brichardi ,23 - 27°C,7 - 9 cm,Tanganika,agresywne,"<p>Pojedynczy osobnik lub dobrana para może być trzymana już w średnim ok. 70 l akwarium, jeżeli jednak chcemy zobaczyć naturalne zachowania tego gatunku to dla pary niezbędne będzie ok. 112 litrowe akwarium o długości 80 cm. <strong>Gatunek najlepiej czuje się w akwarium biotopowym z piaszczystym podłożem</strong>, gdzie dużą część powierzchni zajmują skupiska skalne z licznymi jaskiniami, grotami i szczelinami. Na dekoracjach, mogą rosnąć odporne rośliny, takie jak anubiasy, kryptokoryny, czy mikrozoria – inne rosnące w podłożu będą wykopywane. Gatunek wrażliwy na zanieczyszczenia wody – zalecana jest dobra filtracja biologiczna i częste podmiany wody. Oświetlenie nie powinno być zbyt mocne.</p>","Żerowanie: ,przy dnie,, ,środek,Rozmnażanie: ,jajorodne,Usposobienie: ,agresywne,Trudność hodowli: ,łatwa,Pokarm: ,mrożony,, ,roślinny,, ,suchy,, ,żywy,Długość życia: ,5 - 8 lat"
Gurami dwuplamisty – dwuplamy, Trichopodus trichopterus ,24 - 30°C,13 cm,Azja,"mrożony,suchy,żywy","<p>Te odporne ryby należy trzymać w akwarium o pojemności min. 80 litrów, gęsto porośniętym roślinami, z niezbyt silnym wymuszonym prądem wody, wyposażonym w kilka roślin pływających, wymaganych do rozrodu. Gurami muszą mieć dostęp do tlenu pobieranego znad powierzchni wody.</p>","Żerowanie: ,przy tafli wody,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,4 lata"
